split,label,path,ela_mean_residual,ela_std_residual,ela_hotspot_ratio,ela_p95_residual,ela_p99_residual,ela_hotspot_residual_share,metadata_missing_exif,metadata_missing_camera_data,metadata_software_marker,stats_channel_mean_gap,stats_channel_std_gap,stats_noise_inconsistency
train,0,train/FAKE/2025 (8).jpg,1.6773744221438387,0.8361525732831077,-0.11630610524552938,1.1755924288878132,0.8564695124775342,-0.6339110625556557,0.0,0.0,0.0,-0.15403139351227166,-0.19430213276844538,-0.7615045767363916
train,0,train/FAKE/2063 (4).jpg,0.6857157641028941,0.19556675943150337,-0.11630610524552938,0.4578867216226702,0.4694678890872634,-0.5160004801280949,0.0,0.0,0.0,0.7827202534568761,-0.5502280748016216,-0.2519652561996128
train,0,train/FAKE/3508 (4).jpg,-0.12358368994956923,-0.2602207851112463,-0.20089236360591453,-0.2877813118951567,-0.1399833447444026,-0.23990954464303668,0.0,0.0,0.0,0.4037702065529617,-0.7555623417803597,-0.11507404619137339
train,0,train/FAKE/3832 (10).jpg,1.305823060959008,0.2757178281804017,0.13745266983562432,0.6443037633360871,0.1647423266606205,-0.6708987479678155,0.0,0.0,0.0,-0.5710410771848927,0.4322120138962004,-0.7409858776081897
train,0,train/FAKE/3870 (5).jpg,-0.5088017395404548,-1.2386414574991105,-0.3277717511464914,-0.8470323703674878,-1.206523031194413,-0.7778956856068627,0.0,0.0,0.0,1.4207915230424808,-0.32149439008781894,0.5395360898225368
train,0,train/FAKE/4197 (6).jpg,0.8462948173301885,1.0592615598425486,0.34891831573658544,0.9891753205064744,1.0789191229189294,0.07084350735149934,0.0,0.0,0.0,0.6561779708040006,-0.10669216175910702,0.4193770913243108
train,0,train/FAKE/4461 (3).jpg,-2.4101216621521324,-0.9212189946078829,-1.3850999806512978,-1.965534420644228,-0.9718842979958433,1.3978757561782769,0.0,0.0,0.0,-1.2046763283240831,-0.8131335618644401,1.7942759056058224
train,0,train/FAKE/4613 (6).jpg,0.7617344505896488,1.5654637053952505,0.22203892819600857,1.2035548218084182,1.5360076845156534,0.329011559006896,0.0,0.0,0.0,-0.36530464438102755,0.1675047030342198,0.49483213628532796
train,0,train/FAKE/5135 (2).jpg,-0.19917517512508678,0.6964645858720122,0.941022124259277,0.2714698132450955,-0.29234612595772463,0.811300308321018,0.0,0.0,0.0,-1.1761766173314674,-0.8060778003192081,-1.8169766305741502
train,0,train/FAKE/5940 (2).jpg,-0.35292080595032216,0.9279566266123911,1.1101946409800465,0.2714698132450955,1.0789192318973084,1.5419721721559627,0.0,0.0,0.0,-1.2044488060822303,-0.8288410080674082,-1.162432145595077
train,1,train/REAL/0111.jpg,-0.5113640872185261,0.020600028061432143,0.5603839616375466,-0.1013642701817398,0.012379545447298437,0.6891540818454134,0.0,0.0,0.0,-0.3623867714197238,-0.019511343304544484,-0.10958503285411948
train,1,train/REAL/2942.jpg,-1.5077206693990524,-1.6455540828255368,-1.3850999806512978,-1.5927003372173936,-1.6986548439376041,-0.972560130132284,0.0,0.0,0.0,-0.997854618861712,-0.1685363994640552,0.160249155933204
train,1,train/REAL/3343 (8).jpg,-0.7026919381749337,-1.4560301713965265,-0.8775824304889904,-1.21986632045848,-1.3588859213861142,-1.0329836153972574,0.0,0.0,0.0,1.0317870332091308,-0.12749796344772085,-0.08669996234732863
train,1,train/REAL/3649 (9).jpg,0.16981422937683174,-0.44396414895313563,-0.2854786219662988,-0.1013642701817398,-0.022664087123496667,-0.5261060743398541,0.0,0.0,0.0,-0.7773873405590258,0.03180689656318376,-0.35375370144136586
train,1,train/REAL/4117.jpg,0.5614381090633804,1.3596127057835092,2.6327472914669685,1.5763889052352535,1.4659206373308213,2.0272613884104,0.0,0.0,0.0,2.269039679009785,3.5254695970129286,2.419889189858632
train,1,train/REAL/4423 (5).jpg,0.3081849139442871,-0.9711667320687029,-1.2582205931107209,-0.47419828694065325,-0.9718842979958433,-1.4971534324985976,0.0,0.0,0.0,0.24902093158119917,0.5348839671581972,-0.4291823392822252
